X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0,452.800467,417.979518,120.908934,0.187253,1.930541,0,82.343822,81.750569,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.482442,28.740357,23.069642,21.151866,
0.00062,454.774504,418.308393,121.466903,0.350772,2.291578,0,82.48843,81.829289,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.491454,28.714733,23.047697,21.139056,
0.00124,454.939007,420.774949,120.613539,0,1.536682,0,82.501576,81.881768,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.487248,28.765982,23.083069,21.136396,
0.00186,453.622982,420.774949,120.908934,0.448884,1.635147,0,82.291238,81.645611,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.497462,28.727212,23.09319,21.153639,
0.00248,450.003915,418.143955,121.466903,0,2.160292,0,82.462137,81.73745,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.485346,28.742167,23.057216,21.141421,
0.0031,450.82643,423.077069,120.580717,0.187253,0.748965,0,82.409553,81.68497,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.497062,28.758647,23.076756,21.15492,
0.00372,453.622982,418.966141,121.007399,0,1.733612,0,82.304384,81.606251,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.481441,28.737881,23.060824,21.163197,
0.00434,453.951989,419.459452,121.171507,0.318069,0.125355,0,82.514722,81.68497,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.504171,28.756647,23.055713,21.153245,
0.00496,451.319939,419.952764,120.416609,0,0.223819,0,82.31753,81.632491,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.478437,28.743692,23.089282,21.146249,
0.00558,450.497424,423.077069,121.204329,0.546995,0.322284,0,82.370114,81.593131,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.492656,28.764267,23.075654,21.152851,
0.0124,449.510406,418.637267,120.876112,0,0,0,82.38326,81.72433,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.492455,28.750741,23.064331,21.156497,
0.01302,455.10351,418.47283,120.941756,0.285365,0,0,82.291238,81.65873,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.500867,28.761219,23.068239,21.125557,
0.01364,454.939007,420.610512,120.580717,0.318069,0,0,82.356968,81.580011,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.500867,28.759504,23.06874,21.159256,
0.01426,451.648946,419.952764,120.810469,0.089142,0.092533,0,82.291238,81.68497,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.497763,28.784557,23.071245,21.180145,
0.01488,450.497424,420.117201,121.138686,0.154549,0,0,82.238653,81.632491,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.49576,28.780176,23.077959,21.138367,
0.0155,449.839412,419.788327,120.547895,0.187253,1.011537,0,82.422699,81.73745,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,-101716.756,23.494258,28.755789,23.075153,21.131075,
