X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0,465.631708,431.956674,156.454844,0,0.978716,0,87.260479,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.828945,24.879905,19.356044,17.464211,
0.00062,462.999658,432.778859,156.586131,0.318069,0,0,87.457671,86.67052,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.78809,24.870093,19.381797,17.451993,
0.00124,465.796211,431.298925,156.684596,0,0,0,87.286771,86.526202,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.805914,24.867998,19.351134,17.459284,
0.00186,468.757266,434.752105,156.454844,0.252661,0,0,87.457671,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.803411,24.871141,19.375484,17.455737,
0.00248,466.947732,432.285548,157.111278,0,0,0,87.39194,86.355643,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.814426,24.887145,19.377388,17.447559,
0.0031,462.177143,433.436608,156.815883,0.579699,0,0,87.273625,86.395003,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.818031,24.874475,19.380194,17.458989,
0.00372,464.315683,430.970051,156.159448,0.285365,0,0,87.497109,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.806014,24.872951,19.371776,17.451402,
0.00434,465.467204,433.272171,157.242565,0.056438,0,0,87.339356,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.826542,24.879715,19.374482,17.465098,
0.00496,467.605745,433.272171,156.651774,0,0,0,87.260479,86.64428,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.814626,24.885621,19.35885,17.448446,
0.00558,464.809192,432.778859,156.783061,0.612403,0,0,87.365648,86.69676,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.823538,24.901434,19.391918,17.456328,
0.0124,464.480186,433.929919,156.257913,0.023734,2.816724,0,87.286771,86.801719,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.814526,24.923819,19.35865,17.45889,
0.01302,461.190124,433.765482,156.881526,0.350772,3.899835,0,87.378794,86.775479,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.802209,24.879715,19.371175,17.425191,
0.01364,465.960714,432.778859,156.979992,0,3.079296,0,87.431379,86.73612,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.784486,24.879238,19.376386,17.405485,
0.01426,469.579782,431.463362,155.962518,0.383476,2.061827,0,87.352502,86.565561,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.84016,24.888097,19.369372,17.449234,
0.01488,467.112235,435.080979,156.881526,0.41618,2.3244,0,87.405086,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.807917,24.908959,19.388511,17.472981,
0.0155,462.341646,432.285548,156.684596,0,0.256641,0,87.431379,86.591801,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.813625,24.881048,19.360153,17.448347,
0.01612,462.506149,433.929919,156.126627,0,0.190998,0,87.326209,86.499962,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.832951,24.898195,19.374081,17.456131,
0.01674,467.112235,432.778859,156.914348,0.285365,1.372574,0,87.286771,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.827543,24.893051,19.346224,17.438001,
0.01736,467.770248,433.601045,156.848705,0.187253,0,0,87.273625,86.578681,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.782283,24.896766,19.370474,17.487367,
0.01798,467.276738,430.476739,156.422022,0.448884,0,0,87.22104,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.795701,24.896956,19.369171,17.44746,
0.0248,465.302701,433.107733,156.454844,0.546995,0,0,87.365648,86.68364,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.800107,24.900005,19.370173,17.426275,
0.02542,461.848136,433.436608,156.848705,0,0.256641,0,87.326209,86.6574,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.814626,24.920485,19.357447,17.459284,
0.02604,464.15118,430.641177,156.454844,0.121845,0,0,87.444525,86.762359,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.803411,24.892193,19.355443,17.426472,
0.02666,468.263757,431.956674,156.323557,0,0.716143,0,87.194748,86.762359,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.80281,24.886097,19.391116,17.433173,
0.02728,468.592763,435.738728,156.914348,0.187253,3.177761,0,87.405086,86.972277,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.815127,24.906006,19.376486,17.446179,
0.0279,463.986677,433.601045,157.045635,0.056438,2.980831,0,87.444525,86.985397,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.825641,24.904577,19.395325,17.423024,
0.02852,464.315683,433.107733,156.093805,0.219957,3.735728,0,87.418232,86.972277,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.818031,24.885906,19.368069,17.439873,
0.02914,461.354627,432.449985,156.815883,0.154549,3.177761,0,87.260479,86.749239,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.811221,24.914865,19.371877,17.411988,
0.02976,465.302701,434.587668,156.618953,0.089142,3.637263,0,87.405086,86.827959,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.823738,24.892384,19.362157,17.426472,
0.03038,468.263757,431.627799,156.586131,0.187253,3.407512,0,87.247333,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.826742,24.881715,19.341815,17.420068,
0.0372,465.960714,431.134488,157.045635,0,0,0,87.444525,86.618041,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.831048,24.917913,19.36837,17.427556,
0.03782,465.796211,435.245416,156.553309,0.318069,0,0,87.326209,86.604921,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.840461,24.881143,19.364361,17.444209,
0.03844,463.328664,433.601045,156.848705,0.285365,0,0,87.313063,86.6574,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.81773,24.899814,19.340713,17.43603,
0.03906,467.934751,431.463362,156.618953,0.41618,0,0,87.431379,86.631161,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.853979,24.904291,19.366967,17.442731,
0.03968,469.086272,430.476739,157.078457,0,0,0,87.365648,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.822537,24.890002,19.358249,17.441351,
0.0403,466.28972,433.601045,156.520487,0.318069,0,0,87.510255,86.762359,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.813825,24.898671,19.387709,17.449727,
0.04092,463.986677,431.298925,156.750239,0,0.059712,0,87.39194,86.827959,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.837957,24.897909,19.357247,17.441745,
0.04154,462.506149,430.312302,156.783061,0.350772,0,0,87.339356,86.70988,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.822937,24.878762,19.354541,17.436227,
0.04216,468.099254,432.778859,156.881526,0,0.552035,0,87.483963,86.788599,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.835254,24.890288,19.366365,17.441844,
0.04278,466.947732,432.614422,156.454844,0,0.190998,0,87.470817,86.762359,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.834453,24.909721,19.341515,17.444504,
0.0496,466.454223,433.436608,156.3892,0.383476,0.945894,0,87.457671,86.539321,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,-102307.4689,17.812123,24.87819,19.338108,17.443814,
