X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0,459.216087,428.667931,72.234412,0.710515,3.57162,0,87.878348,87.418353,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.520931,23.43083,17.512372,16.596418,
0.00062,456.584038,421.926009,72.726737,0,3.867014,0,88.07554,87.497072,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.521432,23.430545,17.493634,16.550895,
0.00124,460.861118,430.147865,72.693915,0.874034,3.637263,0,88.088686,87.418353,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.540357,23.453121,17.493634,16.549515,
0.00186,461.190124,427.02356,72.562628,0,2.94801,0,87.944078,87.260914,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.525437,23.439213,17.491029,16.5707,
0.00248,459.38059,424.228129,73.022131,0.350772,2.783902,0,88.022955,87.352754,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.562487,23.420257,17.497041,16.563211,
0.0031,456.419535,427.187997,72.661093,0.089142,1.110002,0,88.022955,87.247795,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.567995,23.427306,17.489225,16.569715,
0.00372,455.761522,427.187997,72.168769,0.579699,1.07718,0,87.852055,87.116596,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.540558,23.438927,17.509366,16.550205,
0.00434,461.190124,423.077069,72.956488,0.154549,1.438218,0,87.983517,87.090356,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.544864,23.425496,17.52089,16.545672,
0.00496,461.683633,425.543626,72.496985,0.514292,0,0,87.970371,87.129716,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.560184,23.421971,17.502252,16.544687,
0.00558,461.190124,425.8725,72.20159,0,0,0,87.878348,87.077236,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.541759,23.436736,17.492432,16.544588,
0.0124,458.064566,428.832368,72.168769,0.023734,0,0,87.838909,87.195315,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.551973,23.44007,17.469785,16.530399,
0.01302,458.064566,426.365811,72.956488,0.121845,0,0,87.760032,87.208435,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.544363,23.423781,17.477301,16.555132,
0.01364,457.900062,425.379189,72.661093,0,1.339753,0,87.930932,87.208435,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.547367,23.40492,17.490027,16.551289,
0.01426,461.190124,428.17462,72.464164,0.514292,0.092533,0,87.970371,87.313394,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.554877,23.42321,17.491329,16.562916,
0.01488,461.190124,424.392566,73.153418,0.023734,0.978716,0,87.799471,87.247795,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.556079,23.421304,17.505158,16.573557,
0.0155,459.545093,426.859123,72.628272,0.383476,1.471039,0,87.852055,87.497072,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.528241,23.436641,17.485818,16.556511,
0.01612,456.584038,427.516871,72.496985,0.023734,3.505977,0,87.957224,87.457713,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.525437,23.403015,17.484916,16.564197,
0.01674,457.24205,427.516871,72.79238,0.318069,3.046475,0,87.865201,87.405233,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.529743,23.418637,17.499646,16.544588,
0.01736,461.683633,421.103823,72.332877,0,4.260873,0,87.90464,87.365873,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.541359,23.41959,17.494536,16.565281,
0.01798,458.722578,425.214751,72.496985,0.383476,4.031122,0,87.891494,87.274034,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.542861,23.415208,17.48662,16.544884,
0.0248,459.051584,428.17462,72.431342,0.187253,0,0,88.049247,87.142836,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.535451,23.411207,17.46227,16.545968,
0.02542,456.913044,427.516871,72.858023,0.121845,0,0,88.049247,87.142836,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.523635,23.423876,17.471288,16.543899,
0.02604,457.406553,427.352434,72.562628,0.219957,0,0,87.970371,87.195315,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.546466,23.406254,17.475898,16.543702,
0.02666,460.367609,424.228129,72.300055,0.219957,0,0,87.957224,87.300274,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.558782,23.410445,17.482211,16.52971,
0.02728,462.506149,428.010183,73.153418,0.187253,0,0,87.891494,87.221555,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.539356,23.417399,17.491329,16.563211,
0.0279,459.216087,426.036937,72.464164,0,0,0,87.838909,87.260914,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.543061,23.419209,17.492131,16.521531,
0.02852,457.077547,427.02356,72.59545,0.481588,0,0,88.049247,87.392113,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.559984,23.43083,17.49664,16.564295,
0.02914,457.077547,427.681308,73.022131,0,0,0,87.90464,87.326514,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.530644,23.411969,17.474595,16.531483,
0.02976,460.203106,425.8725,72.267234,0.089142,0,0,87.865201,87.313394,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.565191,23.398157,17.465076,16.54311,
0.03038,460.367609,422.912632,72.59545,0.187253,0.223819,0,87.996663,87.352754,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.511619,23.39749,17.466479,16.52833,
0.0372,461.190124,425.543626,72.39852,0.41618,0.978716,0,87.930932,87.234675,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.504209,23.419304,17.478603,16.537592,
0.03782,457.735559,429.32568,72.661093,0,0.781786,0,88.088686,87.260914,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,-102241.1368,17.514623,23.429497,17.480407,16.530399,
