X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0,635.727999,602.478072,174.145762,0.514292,1.306931,0,85.235973,84.518861,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.005645,31.638412,26.542847,22.856415,
0.00062,634.24747,603.135821,173.91601,0.056438,1.799255,0,85.301703,84.545101,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.023469,31.650986,26.532426,22.85405,
0.00124,632.602437,601.162573,173.35804,0.448884,1.110002,0,85.354288,84.6763,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.013355,31.635459,26.537436,22.857696,
0.00186,634.905483,601.491448,174.145762,0.089142,0,0,85.275411,84.505742,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.002941,31.614692,26.556876,22.849714,
0.00248,633.918463,603.79357,173.522149,0.285365,0.256641,0,85.38058,84.62382,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.020165,31.644032,26.532726,22.85602,
0.0031,636.879522,600.340387,173.325219,0,0,0,85.275411,84.518861,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.020365,31.624028,26.561786,22.872574,
0.00372,637.702039,601.491448,174.112941,0.252661,0,0,85.196534,84.282704,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.988122,31.627552,26.574712,22.857104,
0.00434,636.550516,603.300259,174.047297,0.089142,0,0,85.367434,84.427022,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.020966,31.638793,26.574011,22.869717,
0.00496,632.931444,602.642509,173.587793,0.285365,0,0,85.512042,84.63694,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.986219,31.650224,26.567498,22.879373,
0.00558,634.411973,599.847075,174.014475,0.318069,0,0,85.31485,84.479502,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.017161,31.628505,26.548058,22.858287,
0.0124,637.044026,599.5182,173.883188,0.219957,2.390043,0,85.341142,84.978057,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.996032,31.618979,26.570003,22.869027,
0.01302,636.550516,605.602381,173.883188,0.350772,3.702906,0,85.341142,84.899338,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.021967,31.63784,26.540142,22.857696,
0.01364,632.108927,601.162573,173.751901,0.089142,3.9983,0,85.354288,84.846858,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.032982,31.655653,26.573209,22.869618,
0.01426,630.792901,600.011512,174.342693,0.089142,3.604441,0,85.20968,84.6763,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.027875,31.635649,26.547958,22.869421,
0.01488,637.044026,601.162573,173.554971,0.056438,4.162408,0,85.20968,84.62382,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.984016,31.639174,26.575213,22.860652,
0.0155,636.057006,601.98476,173.817545,0.318069,3.702906,0,85.485749,84.70254,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.021867,31.661369,26.596958,22.852769,
0.01612,640.827601,598.860451,174.506802,0.219957,2.652616,0,85.341142,84.597581,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.025271,31.628219,26.55387,22.835525,
0.01674,635.892503,603.958008,173.620614,0.350772,1.07718,0,85.301703,84.584461,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.032782,31.608881,26.545252,22.874545,
0.01736,632.437934,602.313635,173.554971,0.023734,1.766433,0,85.367434,84.571341,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.030478,31.631458,26.570604,22.852966,
0.01798,632.108927,602.971384,173.587793,0.448884,0.322284,0,85.354288,84.584461,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.997334,31.643937,26.553068,22.865283,
0.0248,636.386012,599.5182,174.047297,0,0,0,85.327996,84.741899,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,23.990525,31.622313,26.565093,22.850897,
0.02542,638.195548,604.122445,173.587793,0.448884,0,0,85.288557,84.68942,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.033382,31.659369,26.560984,22.884103,
0.02604,633.918463,602.806947,173.554971,0,0,0,85.262265,84.715659,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,-102350.5746,24.015258,31.64165,26.554772,22.83385,
