X_Value,PT1-P0,PT2-P0,PT-P1,PT-P2,PT-W1,PT-W2,PT-PC,PT-F,TCp-P0,TCp-P1,TCp-P2,TCp-W1,TCp-W2,TCp-PC,LC4-W3,LC1-W3,LC2-W3,LC3-W3,Comment
0,304.747767,269.492873,54.871772,0,1.405396,0,83.237759,82.550881,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.696567,23.237646,15.30646,14.621687,
0.00062,304.418762,270.15062,54.149696,0.350772,0.552035,0,83.224613,82.432803,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.699271,23.264318,15.312973,14.664845,
0.00124,301.622212,271.137242,54.937415,0.056438,0.45357,0,83.172029,82.393443,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.694765,23.240408,15.309265,14.631738,
0.00186,300.9642,272.946049,54.773307,0.219957,0.355106,0,83.237759,82.445922,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.688957,23.238217,15.304155,14.617647,
0.00248,302.444726,268.506251,54.740486,0,1.142823,0,83.093152,82.432803,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.714391,23.256602,15.301249,14.644449,
0.0031,304.91227,268.670688,55.068702,0.383476,0.092533,0,83.211467,82.537761,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.711387,23.271748,15.308664,14.641098,
0.00372,302.773732,273.768234,54.642021,0,0.552035,0,83.224613,82.472162,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.71359,23.240599,15.308664,14.637748,
0.00434,300.470691,270.643931,54.773307,0.318069,0,0,83.172029,82.406563,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.688557,23.251458,15.315378,14.617056,
0.00496,300.799697,269.163999,55.003059,0,0,0,83.185175,82.524642,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.685452,23.265747,15.315478,14.639423,
0.00558,303.431744,271.301679,54.510734,0.383476,0,0,83.198321,82.472162,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.69857,23.256221,15.314576,14.640014,
0.0124,304.91227,274.590419,54.740486,0.285365,0.6505,0,83.237759,82.64272,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.731915,23.264985,15.338726,14.635777,
0.01302,307.70882,268.835125,54.477913,0.023734,1.89772,0,83.250906,82.68208,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.755346,23.256888,15.325398,14.638044,
0.01364,302.444726,270.808368,54.937415,0.481588,0.748965,0,83.250906,82.70832,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.707782,23.254983,15.315879,14.662874,
0.01426,300.470691,272.123864,54.379448,0,2.258757,0,83.237759,82.616481,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,-101369.5504,17.727809,23.262413,15.313574,14.623953,
