===============		RESULTS: LIQUID ENGINE REVERSE GEOMETRY PARAMETERS		===============

RUN INFORMATION
Input CEA   : C:\Users\mpmcd\OneDrive\Documents\GitHub\Hand-Calculation-Scripts\Liquids Test Stand\Sizing\Organized Versions\Firing Output\NozzleCharChamberCombined.xlsx
C:\Users\mpmcd\OneDrive\Documents\GitHub\Hand-Calculation-Scripts\Liquids Test Stand\Sizing\Organized Versions\Firing Output\NozzleCharThroatCombined.xlsx: C:\Users\mpmcd\OneDrive\Documents\GitHub\Hand-Calculation-Scripts\Liquids Test Stand\Sizing\Organized Versions\Firing Output\NozzleCharExitCombined.xlsx
Output File : C:\Users\mpmcd\OneDrive\Documents\GitHub\Hand-Calculation-Scripts\Liquids Test Stand\Sizing\Organized Versions\Geometry Output\SPREAD3A_F
Run File    : C:\Users\mpmcd\OneDrive\Documents\GitHub\Hand-Calculation-Scripts\Liquids Test Stand\Sizing\Organized Versions\LiquidEngineGeometryReverse
Run Time    : 29-Aug-2021 13:18:14

CONSTRAINTS:
Pressure                 : 60.00 psi < delta_P_annulus < 200.00 psi
Pressure                 : 0.00 psi <        BF       < 6.00 psi
Maximum Spray Cone Angle : 60 
Minimum Annulus          : 0  
Minimum Speed Factor     : 3.0

INPUT PARAMETERS
Cdhole  :  0.8150
CdAnn   :  0.9000
d_pOut  :  0.0185  0.0185  0.0185  0.0186  0.0186  0.0186  0.0186  0.0187  0.0187  0.0187  0.0187  0.0188  0.0188  0.0188  0.0188 
N       :  10.0000  12.0000  14.0000  16.0000  18.0000  20.0000 
t_burn  :  0.0010 
d_h     :  0.0008  0.0012  0.0016  0.0020  0.0024 
tau_p   :  0.0016  0.0020  0.0024  0.0028  0.0032 
wAnnulus:  0.0005  0.0005  0.0005  0.0005  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0004  0.0003  0.0003  0.0003 
##        d_pOut    N         t_burn    d_h       tau_p     wAnnulus  ||||      x_c       y_c       v_s       theta     BF        SF        Ann dP    Pintle dP 


##        d_pOut    N         t_burn    d_h       tau_p     wAnnulus  ||||      x_c       y_c       v_s       theta     BF        SF        Ann dP    Pintle dP 
716       0.732     18        0.0010    0.0781    0.0625    0.0175    ****      1.243     1.228     25.46     59.32     0.61      3.3537    66.01     64.80     
717       0.732     18        0.0010    0.0781    0.0781    0.0175    ****      1.243     1.228     25.46     59.32     0.61      3.0173    66.01     64.80     
796       0.733     12        0.0010    0.0938    0.0625    0.0170    ****      1.258     1.263     26.40     59.64     0.49      3.5050    69.86     70.32     
797       0.733     12        0.0010    0.0938    0.0781    0.0170    ****      1.258     1.263     26.40     59.64     0.49      3.1539    69.86     70.32     
866       0.733     18        0.0010    0.0781    0.0625    0.0170    ****      1.261     1.231     25.73     58.61     0.61      3.3648    69.86     64.80     
867       0.733     18        0.0010    0.0781    0.0781    0.0170    ****      1.261     1.231     25.73     58.61     0.61      3.0278    69.86     64.80     
946       0.734     12        0.0010    0.0938    0.0625    0.0165    ****      1.277     1.267     26.69     58.90     0.49      3.5165    74.06     70.32     
947       0.734     12        0.0010    0.0938    0.0781    0.0165    ****      1.277     1.267     26.69     58.90     0.49      3.1649    74.06     70.32     
1016      0.734     18        0.0010    0.0781    0.0625    0.0165    ****      1.279     1.234     26.02     57.86     0.61      3.3758    74.06     64.80     
1017      0.734     18        0.0010    0.0781    0.0781    0.0165    ****      1.279     1.234     26.02     57.86     0.61      3.0383    74.06     64.80     

##        d_pOut    N         t_burn    d_h       tau_p     wAnnulus  ||||      x_c       y_c       v_s       theta     BF        SF        Ann dP    Pintle dP 
1096      0.735     12        0.0010    0.0938    0.0625    0.0160    ****      1.296     1.270     27.00     58.13     0.49      3.5281    78.65     70.32     
